Unnamed: 0,CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction
13468,13469,56,0,42,11,0,10,1,2,793,15
20118,20119,54,1,60,5,3,9,2,2,610,24
48411,48412,31,1,12,2,9,7,0,0,222,30
42125,42126,33,0,22,17,5,25,1,1,648,20
55119,55120,39,0,28,30,2,25,1,1,983,22
47575,47576,24,0,16,9,1,30,0,1,694,22
62888,62889,43,0,58,7,0,23,2,2,273,9
33920,33921,42,1,50,20,3,13,2,2,976,4
20861,20862,54,0,15,25,4,13,0,2,944,21
5046,5047,18,0,29,7,7,2,1,0,444,11
50727,50728,49,0,13,13,7,22,0,0,339,9
51843,51844,53,0,38,3,1,29,1,2,291,7
20743,20744,53,0,54,26,5,11,0,0,572,3
55064,55065,20,0,32,26,9,18,2,0,554,27
30965,30966,58,0,39,13,4,10,0,1,750,18
19535,19536,50,0,35,24,7,26,0,2,882,25
15460,15461,50,1,8,10,1,1,1,2,368,22
51266,51267,51,1,24,11,5,22,2,1,127,15
48110,48111,34,0,35,14,10,22,0,0,899,4
52406,52407,21,0,31,25,2,21,0,1,103,29
11623,11624,21,1,34,26,10,12,0,2,479,16
64186,64187,41,0,41,13,7,27,0,0,150,17
22596,22597,61,0,48,19,7,28,2,1,811,12
60194,60195,56,0,39,1,5,12,0,2,492,11
17284,17285,64,1,48,20,3,22,2,2,992,29
59088,59089,44,0,42,4,8,23,0,1,391,7
62312,62313,43,0,2,3,10,19,0,2,731,24
30800,30801,62,0,15,28,2,2,1,1,540,9
33943,33944,28,0,26,9,7,19,2,1,930,20
49032,49033,18,0,55,4,6,29,2,1,188,30
58479,58480,50,0,58,20,7,25,2,1,976,9
8453,8454,61,1,13,29,0,8,0,2,788,18
34719,34720,36,0,51,23,3,5,2,2,786,15
9437,9438,25,1,9,22,9,24,2,0,307,20
19313,19314,44,0,52,25,6,18,1,1,330,2
9614,9615,36,0,1,19,1,4,0,0,940,12
52489,52490,62,1,52,4,10,1,0,0,675,25
37815,37816,64,0,41,15,2,3,0,1,432,28
46079,46080,53,0,10,27,2,29,0,1,141,2
16339,16340,56,0,2,24,2,21,2,0,909,28
58360,58361,51,0,39,27,6,22,1,2,503,20
63870,63871,27,0,25,3,6,30,1,1,876,15
7474,7475,55,0,1,7,7,27,0,1,577,27
31581,31582,32,1,37,3,10,26,1,2,824,7
51557,51558,53,0,56,5,7,20,2,1,561,10
63931,63932,36,0,25,2,4,27,0,1,486,24
60706,60707,65,1,56,16,7,29,1,0,105,7
64169,64170,49,0,49,27,6,22,2,0,287,19
60165,60166,63,0,17,6,3,23,2,1,450,6
47053,47054,62,0,51,22,2,26,1,1,426,2
54188,54189,61,1,55,2,10,1,0,1,113,12
58108,58109,43,0,14,30,6,21,0,0,432,6
63883,63884,32,1,24,27,8,24,1,2,386,15
1114,1115,48,0,22,18,4,5,0,0,391,8
55011,55012,60,1,1,4,6,22,0,1,436,28
38476,38477,20,0,29,27,0,16,0,2,337,21
43533,43534,48,0,1,1,5,27,2,2,566,25
34597,34598,24,0,52,10,1,13,2,1,214,13
25882,25883,21,1,28,27,3,7,1,0,275,24
38388,38389,29,1,29,15,3,13,0,2,651,14
59294,59295,62,0,57,8,5,19,1,0,992,22
38144,38145,48,0,26,26,5,28,0,2,732,4
39479,39480,50,1,15,8,9,1,2,1,946,6
30058,30059,37,0,21,27,9,24,1,2,818,26
31604,31605,50,0,25,18,8,22,0,0,655,10
2279,2280,48,0,34,12,4,29,1,2,509,6
35072,35073,32,0,40,22,1,22,0,0,646,30
41175,41176,32,0,2,27,2,28,0,1,594,6
52905,52906,51,1,48,29,10,18,2,0,444,11
48668,48669,63,0,38,4,9,10,1,1,189,9
49574,49575,18,0,29,6,10,30,0,1,698,30
57701,57702,50,0,7,16,2,27,2,1,297,28
35666,35667,20,0,24,9,0,19,1,1,963,17
55626,55627,33,0,44,30,10,23,1,0,833,28
45553,45554,38,0,22,8,9,28,1,1,446,29
41943,41944,46,0,1,14,6,0,2,0,564,24
3210,3211,43,1,13,21,2,20,0,1,413,6
6129,6130,64,0,60,13,6,14,0,2,664,1
61407,61408,52,0,37,20,1,24,0,1,991,22
3843,3844,61,0,23,3,5,10,0,1,770,20
52502,52503,55,0,13,5,6,21,1,1,797,15
43293,43294,65,1,28,27,1,5,0,2,227,21
58119,58120,41,0,51,28,0,27,2,1,614,14
57337,57338,41,0,12,10,9,25,2,1,706,21
8931,8932,64,0,6,28,7,0,0,2,455,16
60794,60795,24,1,50,1,10,20,2,2,967,12
38382,38383,57,0,32,9,0,10,1,2,296,29
3391,3392,20,1,27,9,2,4,0,2,993,30
13552,13553,42,1,60,22,5,13,2,2,234,26
9014,9015,45,0,56,23,9,22,0,2,659,30
20650,20651,29,0,57,3,9,21,0,1,404,8
27038,27039,44,0,48,11,9,5,0,2,176,11
20825,20826,44,0,21,22,9,7,1,0,658,26
47785,47786,21,0,42,22,7,19,0,0,686,6
22777,22778,62,0,50,19,6,8,2,0,872,6
21238,21239,25,1,10,23,10,11,1,0,789,27
7671,7672,23,1,28,9,3,16,1,2,495,14
39436,39437,57,1,40,14,3,4,0,0,515,29
55800,55801,47,1,31,5,10,26,0,1,305,26
42902,42903,27,0,19,3,2,23,2,0,623,11
5792,5793,53,1,14,8,5,27,2,2,881,25
27512,27513,31,1,17,29,8,25,2,0,891,5
